index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
227,12,72311.99440273333,103478.92398597511,57520.66115702478,10563.149357014123,249.05565467363132,628573.0,0.9621666666666668
228,1,53493.387104320194,106179.34747991397,43636.36363636363,7156.599974017818,249.30539327475392,629884.0,0.9620000000000001
229,2,135368.87787490163,169325.98072025654,65454.54545454541,6767.699180013748,254.33572643196618,631221.0,0.9618333333333332
230,3,8725.258269981006,108596.96133567284,61487.603305785095,7966.674348779831,249.5289772806504,632616.0,0.9616666666666668
231,4,14379.499436442708,106027.22937591645,9917.355371900827,7031.876024298239,249.29132519891948,634013.0,0.9615
232,5,6847.724595123127,99655.00530152037,6148.760330578512,7071.188338940685,248.6815615393741,635384.0,0.9613333333333334
233,6,9925.215826045474,96657.16533729628,5950.413223140496,6972.6425671290735,248.38462810393187,636718.0,0.9611666666666668
234,7,-2423.055204659489,79926.89766914443,6148.760330578512,8158.452132913857,246.58509442055572,638078.0,0.961
235,8,-2101.3323162238057,64653.123013272256,6148.760330578512,7023.682009069847,244.6638356931324,639415.0,0.9608333333333332
236,9,25834.62377842052,77658.30495274818,5950.413223140496,6879.028615804104,246.3182325553168,640772.0,0.9606666666666668
237,10,7.646383200367832,66429.96819283505,3689.256198347107,7546.726944766382,244.91272842034385,642100.0,0.9605
238,11,6891.956855107571,61743.44818540298,3570.2479338842977,8008.228928655345,244.25626112696494,643454.0,0.9603333333333334
239,12,70932.08240217742,105543.723563112,17851.23966942149,9280.567355046884,249.2466099660697,644836.0,0.9601666666666668
240,1,16796.257359259074,106891.50367349574,7933.884297520661,7514.592951354664,249.37125438578525,646196.0,0.96
