Flow 	 Preci 	 Evatr
1774.7370458771359	1.4887102426515726	3.5386592308240212
130.64059510667565	3.9844885992374866	3.479761308190244
4.751912303240495	3.8665608925333497	2.2478373731408308
20.170541862897764	3.938245124385533	5.161906003483141
85.327343940168	3.165495940866914	2.5094090199552155
334.5126324506312	3.7664520420293086	3.34580147900023
63.0646706380665	2.7519610640051204	1.1967372178686277
280.4448525755136	1.1014438254908039	0.6946326779033571
433.10161147065924	3.349168601401879	0.6365882677591017
593.1959255140181	1.7490166255613155	0.8760524928030281
593.4245172433508	5.057022882844248	2.415451754772067
999.9597554249709	3.192386471775981	2.0427764010665443
780.1294803322667	1.1848644829290218	0.5567043966233409
1365.2550967893792	2.918194454274188	1.8554224532206856
529.9916294125202	3.236028798739425	2.652628277434711
25.133347700251964	3.2187057999088546	3.303711841565942
-46.84249880705371	3.2146947492663287	5.651218675663343
4576.678865764703	3.5810583436401453	1.0990040909211456
22.00044126672299	2.844267360607932	0.5636078893377315
27.175358470001495	4.641576472417673	2.7919922337889225
144.57717685599923	3.568671146649539	0.8762025447130091
603.1167092902997	3.3451793653195074	3.5004788653460714
463.62868846061497	1.9474864767507332	2.00516591706931
974.9477811999365	4.501651144527571	3.940563097471506
1531.3048867618609	3.599886337178332	2.7921032541630777
111.02251272557316	4.894439965379947	2.705464726481116
244.56588627764773	2.8004115759871286	3.01598871015051
338.8793530740295	4.044694270551164	3.3529893129603687
140.47058589834543	4.107783265150712	6.127955923902034
428.5318091924003	5.771734918322067	1.41893390334948
845.5878311506644	2.8867247334748836	0.8084497894544915
366.8959217793215	3.2672626821838415	2.2972838642974143
634.3337134114597	2.598407787071223	2.73324043038863
126.8598196928655	3.9894067993250637	2.0439693091668523
445.04002744281587	3.8829647211501026	2.5999887325475672
792.7982484031725	3.19675411855348	3.359144077823286
110.46002615843781	2.3246886441268706	3.585433318456842
195.69084643761988	3.308133302788802	2.348114883356798
91.568422538779	4.989637308305266	0.991452613422225
932.3336325677083	2.5009744134791916	6.289892293916426
1.6772880883461712	3.318138432304969	4.347371602435899
173.15241398532584	4.911543750978546	0.4032461102794385
15.93147570043781	1.998371114032811	1.3146250994479194
291.5211157386493	4.724835642691474	1.9859972781877246
636.3572582775297	3.941688675015996	4.463340775735399
2346.8239321293877	3.955409552953524	1.0443790840046734
