observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
100839.7845199999 5652.8895 3153.7173000000003 249.43 33203.287800000006 110837.37811031741 7933.884297520661  2683.0101854536156  2683.0101854536156 249.73617387499468  5.3504628406638986E8  4.363479961443337E7  77650.0  205796.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101147.2223699999 5841.31915 2951.40336 249.46 9100.16036 111182.43937689021 5950.413223140496  2804.6858702866816  2804.6858702866816 249.7680855800324  5.539882730691059E8  5.093625073740374E7  77850.0  206335.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106619.61609999991 12543.46428 2889.91579 249.97 20905.773800000003 111494.95033184408 17851.23966942149  2742.0231756246126  2742.0231756246126 249.79698699082994  5.550132584334927E8  3.639595475281179E7  78051.0  206834.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
193313.12285999992 33822.13044 2665.78368 256.43 123181.42088000002 169976.18419326894 61487.60330578509  3212.5837127902505  3212.5837127902505 254.38160263834536  5.022280688799389E8  1.9067329780616283E8  78251.0  207334.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
155682.73001999993 233960.20385000002 2828.4282200000002 253.85 199158.23923 213679.14374464197 152727.27272727265  2728.0069513545204  2728.0069513545204 257.2958378219356  5.571246379022998E8  3.126150668211081E7  78451.0  207865.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
138069.51641999994 118353.6549 2975.205 252.57 103715.64630000001 206550.78206489835 107107.43801652893  3736.5699632149613  3736.5699632149613 256.8462022222517  5.401480318909165E8  2.6576853424304587E8  78652.0  208364.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117409.69289999994 107111.34694 3135.86607 250.93 89587.38949 126186.72160753307 166611.57024793388  3339.879699431426  3339.879699431426 251.0703224762296  5.592134055540736E8  1.6114360774016178E8  78852.0  208879.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
118837.79129999992 38320.640400000004 3272.7255 251.05 43021.4643 123686.62502808335 41652.89256198347  3868.668317466255  3868.668317466255 250.860488027919  5.421680958269914E8  2.922399084697846E8  79052.0  209382.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121543.24437999992 54232.03674 3381.81635 251.27 60319.30617 126147.63333798372 53553.71900826446  4304.578851835187  4304.578851835187 251.06717248271283  5.61287092904181E8  3.671396302876827E8  79253.0  209894.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
119883.07998999991 69112.02868 3320.3287800000003 251.13 70772.19307 127572.00362891014 65454.54545454545  3893.2773245281446  3893.2773245281446 251.18195774267951  5.623618132895721E8  2.7735394829873544E8  79453.0  210420.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
